#{"t_start": 1626369421.1535647, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
1332.0,8153,7611.19919
660.0,6165,7620.982291
3900.0,20879,7654.90174
4284.0,23147,7692.176131
660.0,7455,7704.26464
2160.0,12296,7724.037677
1692.0,10485,7740.9354
660.0,4951,7748.851063
1796.0,11275,7767.038386
2440.0,14317,7790.074605
1380.0,8303,7803.420474
1640.0,12356,7823.629989
1284.0,6043,7833.272723
4572.0,18107,7862.649308
3240.0,16229,7888.716086
1588.0,9429,7904.210628
2160.0,11277,7922.537824
1380.0,7271,7934.490923
3600.0,16841,7961.711398
3780.0,17553,7990.068208
996.0,5361,7998.811692
2440.0,16139,8025.057527
1380.0,14745,8048.691426
756.0,6213,8058.764687
660.0,7137,8070.310572
1952.0,11775,8089.396152
1380.0,10509,8106.209557
3900.0,20561,8139.566044
4670.0,18955,8170.572982
2272.0,13061,8191.668354
1848.0,11425,8372.221998
1380.0,7789,8384.86305
900.0,5667,8394.153625
1380.0,8295,8407.431046
1380.0,7125,8418.906003
4860.0,21129,8453.003019
3420.0,15989,8479.168006
1536.0,10061,8495.234434
1284.0,7665,8507.969726
4700.0,19923,8540.211704
1092.0,7359,8551.958964
1848.0,12093,8571.533103
4540.0,22081,8607.411256
1380.0,8428,8620.94362
1900.0,11643,8640.064416
2832.0,14573,8663.617964
1380.0,7837,8676.148407
3964.0,17745,8704.829601
3900.0,19573,8736.35585
3420.0,12493,8756.593141
1284.0,8241,8769.816002
1380.0,10537,8786.922542
900.0,8829,8801.087803
660.0,6461,8811.668968
2160.0,11767,8830.680645
1380.0,8963,8845.331489
996.0,6401,8855.703342
996.0,7779,8868.367708
5668.0,21909,8903.881795
1380.0,9711,8919.60152
2056.0,9931,8935.638685
1640.0,10107,8951.946168
900.0,7516,8964.131893
948.0,6585,8974.798372
1332.0,9923,8991.038896
1188.0,8303,9004.360956
660.0,7765,9016.944969
1380.0,8352,9030.352838
1380.0,8737,9044.484371
1188.0,8153,9057.590672
1380.0,9469,9072.829277
1332.0,9661,9088.533625
1236.0,7607,9100.624615
1900.0,13500,9122.582033
3252.0,15435,9147.657307
948.0,7137,9159.052409
1796.0,10238,9175.658981
3900.0,22216,9211.2807
3690.0,23756,9249.539156
4650.0,19607,9281.587693
2384.0,16423,9308.580007
1432.0,11065,9326.436995
4028.0,19833,9358.513803
2160.0,12539,9378.847815
3000.0,14961,9402.962833
1284.0,8608,9416.957966
3780.0,16079,9442.854119
3870.0,19747,9474.843136
4668.0,26369,9517.290311
2160.0,13193,9538.521585
1640.0,10513,9555.468413
1380.0,8509,9569.151068
660.0,4387,9576.161529
2832.0,14135,9599.051428
1640.0,8953,9613.450305
1380.0,6441,9623.68675
2160.0,11687,9642.563018
2496.0,12765,9775.019256
1848.0,9474,9790.18098
3000.0,16111,9816.14707
3900.0,19045,9846.658503
1952.0,9317,9861.837091
4410.0,14619,9885.363855
3364.0,15320,9910.071592
1692.0,9497,9925.603829
1332.0,7717,9937.981506
5090.0,19325,9969.136747
900.0,9212,9984.029639
1332.0,10033,10000.09458
2160.0,11187,10018.197088
1380.0,10069,10034.33742
1380.0,9573,10049.61124
3870.0,18023,10078.866802
1284.0,7121,10090.303567
3900.0,17794,10119.015017
1744.0,9897,10134.903877
2160.0,12051,10154.166528
1284.0,5746,10163.589535
1284.0,6825,10174.602716
4350.0,18857,10205.192021
4860.0,25911,10247.206683
1380.0,8813,10261.602089
2216.0,15319,10286.533026
3308.0,12819,10307.586734
2216.0,12479,10327.880073
3720.0,15517,10352.966756
2056.0,11298,10371.287999
660.0,5285,10379.723469
3392.0,13790,10402.089591
2056.0,8912,10416.455237
3364.0,16819,10443.883038
2608.0,13005,10464.930298
1332.0,8729,10478.961638
2108.0,12175,10498.699458
1536.0,7873,10511.735327
4156.0,20205,10544.371624
3420.0,18593,10574.224864
1188.0,6775,10585.344189
1484.0,8697,10599.32593
2004.0,9359,10614.595783
1744.0,11335,10633.085667
2160.0,12615,10653.56203
1952.0,9656,10669.305066
3560.0,16541,10696.10394
4444.0,18774,10726.340094
2552.0,14670,10749.95564
2944.0,14101,10772.800899
4350.0,19349,10804.190747
1092.0,6581,10814.7486
3000.0,16201,10840.960212
1692.0,8095,10854.01344
1796.0,10179,10870.488076
900.0,7641,10882.812681
2440.0,12141,10902.337717
1284.0,6679,10913.137122
2440.0,15808,10938.450476
4732.0,22139,10974.37674
4604.0,20769,11007.798701
3420.0,17985,11036.550327
3308.0,14403,11059.774033
3420.0,15821,11284.464461
852.0,5299,11292.963915
1380.0,7427,11305.001336
2108.0,15332,11329.806291
4156.0,20129,11362.327515
5632.0,20807,11396.280691
4992.0,16997,11423.774462
3300.0,15763,11449.173128
3780.0,13647,11471.073507
4860.0,19391,11502.255531
1140.0,7340,11514.066777
1744.0,9501,11529.362422
1380.0,10539,11546.434242
2496.0,15619,11571.508523
1380.0,10499,11588.461304
1380.0,7391,11600.323637
4928.0,21923,11635.454317
6050.0,27777,11680.36909
3720.0,16205,11710.125612
1380.0,7747,11723.349465
2160.0,11794,11742.66866
6606.0,22110,11779.028924
4384.0,16989,11806.671494
4606.0,16942,11834.224287
4732.0,17830,11863.466952
4028.0,17683,11892.445746
1284.0,7365,11904.478703
5084.0,18739,11934.880024
5212.0,18749,11965.820001
3480.0,17237,11993.674858
5744.0,25021,12034.745137
2160.0,14935,12059.171644
1536.0,7947,12072.054744
1044.0,6686,12083.098678
3360.0,17305,12111.622639
1188.0,6613,12122.506365
1380.0,12055,12142.07356
1332.0,8849,12156.693157
1332.0,7459,12168.710242
2608.0,12643,12189.357231
1332.0,6993,12200.711659
1236.0,6484,12211.431208
2160.0,10543,12228.64786
1332.0,9195,12243.978721
3000.0,14501,12267.874012
